2025-10-08 00:39:55,865 - INFO - ============================================================
2025-10-08 00:39:55,865 - INFO - CSV BATCH CLEANING STARTED
2025-10-08 00:39:55,865 - INFO - ============================================================
2025-10-08 00:39:55,865 - INFO - Script location: /Users/soms/adaptive-assessment-system/backend/scripts
2025-10-08 00:39:55,865 - INFO - Raw directory: /Users/soms/adaptive-assessment-system/backend/data/raw_sample_questions
2025-10-08 00:39:55,865 - INFO - Cleaned directory: /Users/soms/adaptive-assessment-system/backend/data/sample_questions
2025-10-08 00:39:55,865 - INFO - Log directory: /Users/soms/adaptive-assessment-system/backend/data/logs
2025-10-08 00:39:55,865 - INFO - ------------------------------------------------------------
2025-10-08 00:39:55,866 - INFO - Found 12 CSV files to process
2025-10-08 00:39:55,866 - INFO - ------------------------------------------------------------
2025-10-08 00:39:55,866 - INFO - Processing: conic_sections.csv
2025-10-08 00:39:55,870 - INFO - ✓ Cleaned conic_sections.csv: 80 questions
2025-10-08 00:39:55,870 - INFO - ✓ Saved cleaned: conic_sections_cleaned.csv
2025-10-08 00:39:55,871 - INFO -   Original moved to: processed/conic_sections_processed_20251008_003955.csv
2025-10-08 00:39:55,871 - INFO -   Questions: 80 | Tiers: C1:11, C2:33, C3:31, C4:5
2025-10-08 00:39:55,871 - INFO - ------------------------------------------------------------
2025-10-08 00:39:55,871 - INFO - Processing: statistics.csv
2025-10-08 00:39:55,872 - WARNING - Invalid answer 'measure of dispersion' in row 1, defaulting to 'a'
2025-10-08 00:39:55,872 - WARNING - Invalid answer 'maximum value - minimum value' in row 2, defaulting to 'a'
2025-10-08 00:39:55,872 - WARNING - Invalid answer 'what is the range?' in row 3, defaulting to 'a'
2025-10-08 00:39:55,872 - WARNING - Invalid tier 'C91' in row 3, defaulting to 'C2'
2025-10-08 00:39:55,872 - WARNING - Invalid answer 'mean and median' in row 4, defaulting to 'a'
2025-10-08 00:39:55,873 - WARNING - Invalid answer '_' in row 5, defaulting to 'a'
2025-10-08 00:39:55,873 - WARNING - Invalid answer '__' in row 6, defaulting to 'a'
2025-10-08 00:39:55,873 - WARNING - Invalid answer '4' in row 7, defaulting to 'a'
2025-10-08 00:39:55,873 - WARNING - Invalid tier 'C8' in row 7, defaulting to 'C2'
2025-10-08 00:39:55,873 - WARNING - Invalid answer '4' in row 8, defaulting to 'a'
2025-10-08 00:39:55,873 - WARNING - Invalid tier 'C8' in row 8, defaulting to 'C2'
2025-10-08 00:39:55,873 - WARNING - Invalid answer 'zero' in row 9, defaulting to 'a'
2025-10-08 00:39:55,873 - WARNING - Invalid answer '5' in row 10, defaulting to 'a'
2025-10-08 00:39:55,873 - WARNING - Invalid tier 'C7}' in row 10, defaulting to 'C2'
2025-10-08 00:39:55,873 - WARNING - Invalid answer 'cubed deviations' in row 11, defaulting to 'a'
2025-10-08 00:39:55,873 - WARNING - Invalid tier 'CABSOLUTE DEVIATIONS' in row 11, defaulting to 'C2'
2025-10-08 00:39:55,873 - WARNING - Invalid answer 'mean' in row 12, defaulting to 'a'
2025-10-08 00:39:55,873 - WARNING - Invalid answer '2.5' in row 13, defaulting to 'a'
2025-10-08 00:39:55,873 - WARNING - Invalid tier 'C5' in row 13, defaulting to 'C2'
2025-10-08 00:39:55,873 - WARNING - Invalid answer '12' in row 14, defaulting to 'a'
2025-10-08 00:39:55,873 - WARNING - Invalid tier 'C13' in row 14, defaulting to 'C2'
2025-10-08 00:39:55,873 - WARNING - Invalid answer '13' in row 15, defaulting to 'a'
2025-10-08 00:39:55,873 - WARNING - Invalid tier 'C10' in row 15, defaulting to 'C2'
2025-10-08 00:39:55,873 - WARNING - Invalid answer '_(xi - __)_/n' in row 16, defaulting to 'a'
2025-10-08 00:39:55,873 - WARNING - Invalid answer 'square root of variance' in row 17, defaulting to 'a'
2025-10-08 00:39:55,873 - WARNING - Invalid answer 'half' in row 18, defaulting to 'a'
2025-10-08 00:39:55,873 - WARNING - Invalid tier 'C4 TIMES' in row 18, defaulting to 'C2'
2025-10-08 00:39:55,873 - WARNING - Invalid answer 'becomes 5 times' in row 19, defaulting to 'a'
2025-10-08 00:39:55,873 - WARNING - Invalid tier 'CREMAINS UNCHANGED' in row 19, defaulting to 'C2'
2025-10-08 00:39:55,873 - WARNING - Invalid answer '_fi(xi - __)_/n' in row 20, defaulting to 'a'
2025-10-08 00:39:55,873 - WARNING - Invalid tier 'C_FI|XI - __|/N' in row 20, defaulting to 'C2'
2025-10-08 00:39:55,873 - WARNING - Invalid answer '_fi(xi - __)_/n' in row 21, defaulting to 'a'
2025-10-08 00:39:55,873 - WARNING - Invalid answer 'a/h' in row 22, defaulting to 'a'
2025-10-08 00:39:55,873 - WARNING - Invalid tier 'CAÁHÁ_' in row 22, defaulting to 'C2'
2025-10-08 00:39:55,873 - WARNING - Invalid answer '_x_ = h__y_' in row 23, defaulting to 'a'
2025-10-08 00:39:55,873 - WARNING - Invalid answer 'frequencies' in row 24, defaulting to 'a'
2025-10-08 00:39:55,873 - WARNING - Invalid tier 'CMID-POINTS OF CLASSES' in row 24, defaulting to 'C2'
2025-10-08 00:39:55,873 - WARNING - Invalid answer 'just greater than or equal to n/2' in row 25, defaulting to 'a'
2025-10-08 00:39:55,873 - WARNING - Invalid answer '40' in row 26, defaulting to 'a'
2025-10-08 00:39:55,873 - WARNING - Invalid tier 'C20' in row 26, defaulting to 'C2'
2025-10-08 00:39:55,873 - WARNING - Invalid answer 'range' in row 27, defaulting to 'a'
2025-10-08 00:39:55,873 - WARNING - Invalid answer '(_/__) _ 100' in row 28, defaulting to 'a'
2025-10-08 00:39:55,873 - WARNING - Invalid answer 'y' in row 29, defaulting to 'a'
2025-10-08 00:39:55,873 - WARNING - Invalid tier 'CTHEN X + Y EQUALS:' in row 29, defaulting to 'C2'
2025-10-08 00:39:55,873 - WARNING - Invalid answer '_xi_/n - (_xi/n)_' in row 30, defaulting to 'a'
2025-10-08 00:39:55,873 - WARNING - Invalid answer 'positive or zero' in row 31, defaulting to 'a'
2025-10-08 00:39:55,873 - WARNING - Invalid answer 'equal to mean' in row 32, defaulting to 'a'
2025-10-08 00:39:55,873 - WARNING - Invalid tier 'C0' in row 32, defaulting to 'C2'
2025-10-08 00:39:55,873 - WARNING - Invalid answer '24' in row 33, defaulting to 'a'
2025-10-08 00:39:55,873 - WARNING - Invalid tier 'C32 WITH FI = 3' in row 33, defaulting to 'C2'
2025-10-08 00:39:55,873 - WARNING - Invalid answer '(n_ - 1)/12' in row 34, defaulting to 'a'
2025-10-08 00:39:55,873 - WARNING - Invalid answer '8.65' in row 35, defaulting to 'a'
2025-10-08 00:39:55,873 - WARNING - Invalid answer 'always less than standard deviation' in row 36, defaulting to 'a'
2025-10-08 00:39:55,873 - WARNING - Invalid answer 'mean deviation' in row 37, defaulting to 'a'
2025-10-08 00:39:55,874 - WARNING - Invalid tier 'CVARIANCE' in row 37, defaulting to 'C2'
2025-10-08 00:39:55,874 - WARNING - Invalid answer 'cannot be determined' in row 38, defaulting to 'a'
2025-10-08 00:39:55,874 - WARNING - Invalid tier 'CINCREASES BY 10' in row 38, defaulting to 'C2'
2025-10-08 00:39:55,874 - WARNING - Invalid answer 'square of data unit' in row 39, defaulting to 'a'
2025-10-08 00:39:55,874 - WARNING - Invalid answer 'same as data unit' in row 40, defaulting to 'a'
2025-10-08 00:39:55,874 - WARNING - Invalid answer 'median only' in row 41, defaulting to 'a'
2025-10-08 00:39:55,874 - WARNING - Invalid tier 'CMODE ONLY' in row 41, defaulting to 'C2'
2025-10-08 00:39:55,874 - WARNING - Invalid answer 'any value' in row 42, defaulting to 'a'
2025-10-08 00:39:55,874 - WARNING - Invalid tier 'CMIDDLE VALUE OR CLOSE TO IT' in row 42, defaulting to 'C2'
2025-10-08 00:39:55,874 - WARNING - Invalid answer '28' in row 43, defaulting to 'a'
2025-10-08 00:39:55,874 - WARNING - Invalid tier 'C30 WITH FI = 2' in row 43, defaulting to 'C2'
2025-10-08 00:39:55,874 - WARNING - Invalid answer 'variance' in row 44, defaulting to 'a'
2025-10-08 00:39:55,874 - WARNING - Invalid tier 'CUMULATIVE FREQUENCY' in row 44, defaulting to 'C2'
2025-10-08 00:39:55,874 - WARNING - Invalid answer 'h' in row 45, defaulting to 'a'
2025-10-08 00:39:55,874 - WARNING - Invalid answer 'less than about mean' in row 46, defaulting to 'a'
2025-10-08 00:39:55,874 - WARNING - Invalid answer 'a and b have same range' in row 47, defaulting to 'a'
2025-10-08 00:39:55,874 - WARNING - Invalid tier 'CA AND B MAY HAVE DIFFERENT DISPERSIONS' in row 47, defaulting to 'C2'
2025-10-08 00:39:55,874 - WARNING - Invalid answer 'dispersion' in row 48, defaulting to 'a'
2025-10-08 00:39:55,874 - WARNING - Invalid answer '55' in row 49, defaulting to 'a'
2025-10-08 00:39:55,874 - WARNING - Invalid tier 'C63' in row 49, defaulting to 'C2'
2025-10-08 00:39:55,874 - WARNING - Invalid answer 'it can be algebraically treated' in row 50, defaulting to 'a'
2025-10-08 00:39:55,874 - WARNING - Invalid answer '2.5' in row 51, defaulting to 'a'
2025-10-08 00:39:55,874 - WARNING - Invalid tier 'C5' in row 51, defaulting to 'C2'
2025-10-08 00:39:55,874 - WARNING - Invalid answer 'the first mid-point is:' in row 52, defaulting to 'a'
2025-10-08 00:39:55,874 - WARNING - Invalid tier 'C0' in row 52, defaulting to 'C2'
2025-10-08 00:39:55,874 - WARNING - Invalid answer 'standard deviation' in row 53, defaulting to 'a'
2025-10-08 00:39:55,874 - WARNING - Invalid tier 'CSTEP-DEVIATION' in row 53, defaulting to 'C2'
2025-10-08 00:39:55,874 - WARNING - Invalid answer 'ax2' in row 54, defaulting to 'a'
2025-10-08 00:39:55,874 - WARNING - Invalid tier 'C...' in row 54, defaulting to 'C2'
2025-10-08 00:39:55,874 - WARNING - Invalid answer 'mean' in row 55, defaulting to 'a'
2025-10-08 00:39:55,874 - WARNING - Invalid answer '1' in row 56, defaulting to 'a'
2025-10-08 00:39:55,874 - WARNING - Invalid tier 'C10' in row 56, defaulting to 'C2'
2025-10-08 00:39:55,874 - WARNING - Invalid answer 'same units as data' in row 57, defaulting to 'a'
2025-10-08 00:39:55,874 - WARNING - Invalid answer 'quartile deviation' in row 58, defaulting to 'a'
2025-10-08 00:39:55,874 - WARNING - Invalid answer 'cannot be determined' in row 59, defaulting to 'a'
2025-10-08 00:39:55,874 - WARNING - Invalid tier 'C0' in row 59, defaulting to 'C2'
2025-10-08 00:39:55,874 - WARNING - Invalid answer 'zero or positive' in row 60, defaulting to 'a'
2025-10-08 00:39:55,874 - WARNING - Invalid answer '6000' in row 61, defaulting to 'a'
2025-10-08 00:39:55,874 - WARNING - Invalid tier 'C280' in row 61, defaulting to 'C2'
2025-10-08 00:39:55,874 - WARNING - Invalid answer '16' in row 62, defaulting to 'a'
2025-10-08 00:39:55,874 - WARNING - Invalid tier 'C18' in row 62, defaulting to 'C2'
2025-10-08 00:39:55,874 - WARNING - Invalid answer '5' in row 63, defaulting to 'a'
2025-10-08 00:39:55,874 - WARNING - Invalid tier 'C22' in row 63, defaulting to 'C2'
2025-10-08 00:39:55,874 - WARNING - Invalid answer 'standard deviation' in row 64, defaulting to 'a'
2025-10-08 00:39:55,874 - WARNING - Invalid answer 'mid-point' in row 65, defaulting to 'a'
2025-10-08 00:39:55,874 - WARNING - Invalid tier 'CSUM OF FREQUENCIES' in row 65, defaulting to 'C2'
2025-10-08 00:39:55,874 - WARNING - Invalid answer '402' in row 66, defaulting to 'a'
2025-10-08 00:39:55,874 - WARNING - Invalid tier 'C14.18' in row 66, defaulting to 'C2'
2025-10-08 00:39:55,874 - WARNING - Invalid answer '9' in row 67, defaulting to 'a'
2025-10-08 00:39:55,874 - WARNING - Invalid tier 'C17' in row 67, defaulting to 'C2'
2025-10-08 00:39:55,874 - WARNING - Invalid answer '(n/2 - c)/f' in row 68, defaulting to 'a'
2025-10-08 00:39:55,874 - WARNING - Invalid tier 'C(N - C)/2F' in row 68, defaulting to 'C2'
2025-10-08 00:39:55,874 - WARNING - Invalid answer 'direct proportion' in row 69, defaulting to 'a'
2025-10-08 00:39:55,875 - WARNING - Invalid answer 'divide by 10' in row 70, defaulting to 'a'
2025-10-08 00:39:55,875 - WARNING - Invalid tier 'CSUBTRACT 10 FROM SUM' in row 70, defaulting to 'C2'
2025-10-08 00:39:55,875 - WARNING - Invalid answer '10' in row 71, defaulting to 'a'
2025-10-08 00:39:55,875 - WARNING - Invalid tier 'C15' in row 71, defaulting to 'C2'
2025-10-08 00:39:55,875 - WARNING - Invalid answer 'may be less or greater than variance' in row 72, defaulting to 'a'
2025-10-08 00:39:55,875 - WARNING - Invalid answer 'variance' in row 73, defaulting to 'a'
2025-10-08 00:39:55,875 - WARNING - Invalid answer 'becomes a times' in row 74, defaulting to 'a'
2025-10-08 00:39:55,875 - WARNING - Invalid tier 'CREMAINS SAME' in row 74, defaulting to 'C2'
2025-10-08 00:39:55,875 - WARNING - Invalid answer '8' in row 75, defaulting to 'a'
2025-10-08 00:39:55,875 - WARNING - Invalid tier 'C14' in row 75, defaulting to 'C2'
2025-10-08 00:39:55,875 - WARNING - Invalid answer 'original median' in row 76, defaulting to 'a'
2025-10-08 00:39:55,875 - WARNING - Invalid tier 'CORIGINAL _XI AND _XI_' in row 76, defaulting to 'C2'
2025-10-08 00:39:55,875 - WARNING - Invalid answer 'all datasets' in row 77, defaulting to 'a'
2025-10-08 00:39:55,875 - WARNING - Invalid answer '1626.01' in row 78, defaulting to 'a'
2025-10-08 00:39:55,875 - WARNING - Invalid tier 'C162601' in row 78, defaulting to 'C2'
2025-10-08 00:39:55,875 - WARNING - Invalid answer '50-60 with frequencies 6' in row 79, defaulting to 'a'
2025-10-08 00:39:55,875 - WARNING - Invalid tier 'C8' in row 79, defaulting to 'C2'
